date,n_articles,sentiment_mean,sentiment_std,neg_mean,neu_mean,pos_mean
2020-09-03,4,0.5505,0.6024558075079035,0.0625,0.85825,0.07925
2020-09-04,4,0.3525,0.469667612963324,0.041999999999999996,0.90425,0.05375
2020-09-08,1,0.649,,0.0,0.782,0.218
2020-09-09,3,0.9996666666666667,0.0005773502691895862,0.053,0.7863333333333333,0.16066666666666665
2020-09-10,1,0.982,,0.035,0.86,0.105
2020-09-11,2,0.78,0.0,0.047,0.905,0.048
2020-09-14,4,0.866,0.14780166891254418,0.0305,0.901,0.069
2020-09-15,1,0.993,,0.024,0.856,0.12
2020-09-16,1,0.975,,0.053,0.849,0.098
2020-09-17,5,0.9002000000000001,0.141928503127455,0.021400000000000002,0.8716000000000002,0.10700000000000001
2020-09-22,1,0.703,,0.004,0.973,0.023
2020-09-24,5,0.7298,0.4935308500995657,0.0482,0.8914,0.060399999999999995
2020-09-28,2,0.984,0.0,0.017,0.897,0.085
2020-09-29,3,0.5606666666666666,0.7418950959086692,0.06033333333333333,0.8723333333333333,0.06733333333333334
2020-10-01,4,0.6635,0.14029611541307907,0.032,0.7245,0.2435
2020-10-06,1,0.968,,0.034,0.837,0.13
2020-10-07,1,0.98,,0.046,0.85,0.104
2020-10-08,3,0.9899999999999999,0.008660254037844362,0.042333333333333334,0.8576666666666667,0.10066666666666667
2020-10-09,1,1.0,,0.05,0.769,0.18
2020-10-12,6,0.6533333333333333,0.5262100974579134,0.044333333333333336,0.8690000000000001,0.08666666666666667
2020-10-13,2,-0.05,0.0,0.157,0.731,0.112
2020-10-16,5,0.9894000000000001,0.011436782764396686,0.027600000000000003,0.8513999999999999,0.1204
2020-10-20,1,0.979,,0.015,0.902,0.083
2020-10-21,4,0.994,0.0011547005383792527,0.0345,0.8694999999999999,0.0955
2020-10-22,1,0.202,,0.066,0.859,0.076
2020-10-23,2,0.994,0.0028284271247461927,0.025500000000000002,0.8605,0.11399999999999999
2020-10-24,2,0.63,0.0,0.033,0.911,0.056
2020-10-26,2,0.997,0.0,0.057,0.843,0.099
2020-10-27,2,0.971,0.0,0.021,0.91,0.07
2020-10-28,1,0.956,,0.017,0.905,0.078
2020-10-29,2,0.986,0.0,0.034,0.896,0.07
2020-10-30,5,0.3782,0.8319237945869802,0.047,0.8573999999999999,0.096
2020-11-02,5,0.4584,0.2314741886258595,0.0872,0.7748,0.13879999999999998
2020-11-03,2,0.986,0.0,0.011,0.93,0.059
2020-11-09,6,-0.5103333333333333,0.7376754480573869,0.11599999999999999,0.826,0.057666666666666665
2020-11-10,1,0.993,,0.048,0.859,0.093
2020-11-11,3,0.988,0.008660254037844393,0.008,0.9289999999999999,0.063
2020-11-13,2,0.9924999999999999,0.007778174593051991,0.013000000000000001,0.868,0.1195
2020-11-14,1,0.977,,0.054,0.862,0.083
2020-11-23,2,0.993,0.0,0.019,0.878,0.103
2020-11-25,2,0.865,0.18667619023324855,0.027999999999999997,0.8845000000000001,0.088
2020-11-28,2,0.976,0.0,0.023,0.925,0.052
2020-11-30,1,0.06,,0.016,0.968,0.017
2020-12-01,1,0.987,,0.0,0.871,0.129
2020-12-04,2,0.987,0.0,0.057,0.84,0.102
2020-12-05,3,0.766,0.31523324697753563,0.02266666666666667,0.9003333333333333,0.07766666666666666
2020-12-06,2,0.844,0.0,0.051,0.891,0.058
2020-12-07,3,0.9883333333333333,0.018502252115170613,0.042666666666666665,0.8226666666666667,0.13466666666666668
2020-12-09,1,0.988,,0.026,0.882,0.092
2020-12-10,2,0.991,0.0,0.006,0.9,0.094
2020-12-11,2,0.997,0.0,0.046,0.846,0.108
2020-12-14,6,-0.09950000000000002,0.9235270975991988,0.08516666666666667,0.8503333333333334,0.0645
2020-12-15,10,0.21739999999999998,0.7945057443327755,0.059199999999999996,0.8548,0.086
2020-12-16,6,0.923,0.14676511847165866,0.007333333333333334,0.8856666666666667,0.10716666666666667
2020-12-17,4,-0.0015000000000000013,1.1425761827262695,0.11199999999999999,0.8194999999999999,0.069
2020-12-19,6,-0.9173333333333332,0.042145778752642214,0.09500000000000001,0.855,0.049666666666666665
2020-12-21,2,-0.883,0.0,0.079,0.858,0.063
2020-12-22,4,0.97125,0.04299903099683371,0.0335,0.87375,0.093
2020-12-23,6,0.9896666666666666,0.011093541664710483,0.028999999999999998,0.8626666666666667,0.1085
2020-12-24,2,-0.064,0.09050966799187808,0.0345,0.938,0.027
2020-12-25,1,1.0,,0.026,0.827,0.147
2020-12-28,6,0.5071666666666667,0.44609614060947295,0.006333333333333333,0.9143333333333333,0.07966666666666666
2020-12-29,1,0.875,,0.0,0.711,0.289
2020-12-30,4,0.9135,0.06363175307973214,0.02325,0.7662500000000001,0.2105
2021-01-03,1,0.938,,0.017,0.913,0.069
2021-01-04,2,0.963,0.0,0.015,0.929,0.056
2021-01-05,6,0.8213333333333334,0.40243740714136733,0.029833333333333333,0.896,0.07416666666666667
2021-01-06,2,0.9059999999999999,0.10465180361560909,0.0065,0.9025000000000001,0.091
2021-01-07,3,0.5426666666666666,0.7453591975238069,0.06766666666666667,0.8443333333333333,0.08800000000000001
2021-01-08,8,0.94725,0.07731706520185935,0.019125,0.872,0.10875
2021-01-09,5,0.9964000000000001,0.0020736441353327497,0.041999999999999996,0.8464,0.11200000000000002
2021-01-12,5,0.9179999999999999,0.09027735042633894,0.043800000000000006,0.8518000000000001,0.1046
2021-01-13,5,0.1556,0.81858615917935,0.0506,0.8897999999999999,0.0596
2021-01-14,3,0.9979999999999999,0.0034641016151377574,0.043000000000000003,0.8203333333333335,0.13733333333333334
2021-01-15,15,0.8601333333333333,0.2706317652844033,0.038799999999999994,0.8603333333333333,0.10099999999999999
2021-01-16,1,0.978,,0.022,0.879,0.099
2021-01-18,2,0.952,0.0,0.021,0.886,0.094
2021-01-19,5,0.2394,1.0373872468851735,0.041999999999999996,0.8744,0.08399999999999999
2021-01-20,2,0.855,0.0,0.0,0.951,0.049
2021-01-21,5,0.06720000000000001,0.9808377541673241,0.0512,0.882,0.06720000000000001
2021-01-22,8,0.994875,0.005409977554746132,0.019875,0.87225,0.10775
2021-01-24,4,0.11875000000000001,0.8314991982357329,0.026500000000000003,0.88225,0.091
2021-01-25,8,0.609875,0.5474135124121696,0.05175,0.876125,0.072125
2021-01-26,7,0.9582857142857143,0.0809211844651207,0.02514285714285714,0.8470000000000001,0.12757142857142859
2021-01-27,4,0.996,0.005477225575051673,0.031,0.836,0.133
2021-01-28,8,0.5235,0.8626306940317591,0.047,0.8422499999999999,0.11075
2021-01-29,5,0.43220000000000003,0.7615301701180328,0.0802,0.8524,0.0678
2021-02-01,2,0.991,0.0,0.004,0.892,0.104
2021-02-02,4,0.37075,0.7344682316705967,0.06874999999999999,0.8552500000000001,0.0755
2021-02-03,2,0.925,0.10323759005323599,0.0075,0.8665,0.126
